Order_ID,Customer_ID,Product_ID,Branch_ID,Agent_ID,Order_Date,Total_Value,Payment_Method,Down_Payment,Net_Financed,Months_Term,Interest_Rate,Monthly_Installment,Remaining_Balance,Days_Past_Due,Business_Channel,Sales_Platform,Currency,Next_Due_Date
ORD-400013,CUST-1091,PROD-107,BR-14,AG-50,"Tuesday, October 31, 2023",30159.47,Installments,6031.89,24127.58,24,0.15,1005.32,473.2,0,Retail,Website,EGP,11/30/2023
ORD-400014,CUST-1273,PROD-110,BR-16,AG-53,"Monday, February 6, 2023",17348.58,Installments,3469.72,13878.86,6,0.15,2313.14,10969.69,0,Retail,Website,EGP,3/8/2023
ORD-400015,CUST-1275,PROD-114,BR-18,AG-55,"Thursday, February 9, 2023",43432.83,Installments,8686.57,34746.26,12,0.15,2895.52,18786.6,0,Retail,Website,EGP,3/11/2023
ORD-400016,CUST-1210,PROD-110,BR-16,AG-53,"Wednesday, January 4, 2023",31076.49,Installments,6215.3,24861.19,6,0.15,4143.53,20602.89,75,Retail,Website,EGP,2/3/2023
ORD-400017,CUST-1210,PROD-104,BR-14,AG-51,"Sunday, July 30, 2023",62814.26,Cash,62814.26,0,0,0.15,0,0,0,Retail,Website,EGP,8/29/2023
ORD-400018,CUST-1391,PROD-110,BR-16,AG-51,"Tuesday, January 17, 2023",77407.21,Cash,77407.21,0,0,0.15,0,0,0,Retail,Website,EGP,2/16/2023
ORD-400019,CUST-1210,PROD-114,BR-10,AG-53,"Friday, December 8, 2023",10035.06,Cash,10035.06,0,0,0.15,0,0,0,Retail,Website,EGP,1/7/2024
ORD-400020,CUST-1193,PROD-104,BR-18,AG-50,"Wednesday, January 3, 2024",64977.4,Cash,64977.4,0,0,0.15,0,0,0,Retail,Website,EGP,2/2/2024
ORD-400021,CUST-1100,PROD-109,BR-17,AG-55,"Tuesday, January 3, 2023",67321.18,Installments,13464.24,53856.94,6,0.15,8976.16,9530.8,0,Retail,Website,EGP,2/2/2023
ORD-400022,CUST-1314,PROD-106,BR-17,AG-51,"Tuesday, December 12, 2023",69112.94,Cash,69112.94,0,0,0.15,0,0,0,Retail,Website,EGP,1/11/2024
ORD-400023,CUST-1462,PROD-109,BR-10,AG-53,"Sunday, June 11, 2023",33720.11,Cash,33720.11,0,0,0.15,0,0,0,Retail,Website,EGP,7/11/2023
ORD-400024,CUST-1068,PROD-100,BR-15,AG-50,"Saturday, March 11, 2023",5553.43,Installments,1110.69,4442.74,24,0.15,185.11,340.66,0,Retail,Website,EGP,4/10/2023
ORD-400025,CUST-1126,PROD-112,BR-14,AG-50,"Thursday, November 16, 2023",75327.27,Installments,15065.45,60261.82,6,0.15,10043.64,-150.75,0,Retail,Website,EGP,12/16/2023
ORD-400026,CUST-1253,PROD-114,BR-16,AG-51,"Saturday, January 6, 2024",17958.49,Installments,3591.7,14366.79,12,0.15,1197.23,1058.7,0,Retail,Website,EGP,2/5/2024
ORD-400027,CUST-1170,PROD-112,BR-12,AG-55,"Sunday, April 16, 2023",41502.8,Installments,8300.56,33202.24,12,0.15,2766.85,2040.71,0,Retail,Website,EGP,5/16/2023
ORD-400028,CUST-1444,PROD-101,BR-14,AG-54,"Tuesday, March 14, 2023",6664.98,Installments,1333,5331.98,6,0.15,888.66,1950.15,3,Retail,Website,EGP,4/13/2023
ORD-400029,CUST-1084,PROD-104,BR-11,AG-54,"Tuesday, July 4, 2023",11502.22,Cash,11502.22,0,0,0.15,0,0,0,Retail,Website,EGP,8/3/2023
ORD-400030,CUST-1257,PROD-100,BR-14,AG-54,"Wednesday, December 20, 2023",47791.41,Cash,47791.41,0,0,0.15,0,0,0,Retail,Website,EGP,1/19/2024
ORD-400031,CUST-1273,PROD-113,BR-14,AG-52,"Friday, December 1, 2023",79762.42,Installments,15952.48,63809.94,6,0.15,10634.99,5863.46,0,Retail,Website,EGP,12/31/2023
ORD-400032,CUST-1436,PROD-107,BR-17,AG-51,"Saturday, June 24, 2023",54434.75,Installments,10886.95,43547.8,6,0.15,7257.97,30074.44,0,Retail,Website,EGP,7/24/2023
ORD-400033,CUST-1122,PROD-111,BR-12,AG-52,"Sunday, December 31, 2023",42811.67,Installments,8562.33,34249.34,6,0.15,5708.22,23853.6,0,Retail,Website,EGP,1/30/2024
ORD-400034,CUST-1227,PROD-103,BR-15,AG-50,"Wednesday, August 2, 2023",59750.26,Cash,59750.26,0,0,0.15,0,0,0,Retail,Website,EGP,9/1/2023
ORD-400035,CUST-1054,PROD-101,BR-14,AG-54,"Friday, January 20, 2023",42271.69,Cash,42271.69,0,0,0.15,0,0,0,Retail,Website,EGP,2/19/2023
ORD-400036,CUST-1495,PROD-106,BR-11,AG-54,"Monday, December 11, 2023",75251.15,Installments,15050.23,60200.92,6,0.15,10033.49,3298.94,0,Retail,Website,EGP,1/10/2024
ORD-400037,CUST-1368,PROD-111,BR-13,AG-52,"Thursday, June 1, 2023",62584.39,Installments,12516.88,50067.51,24,0.15,2086.15,8808.83,3,Retail,Website,EGP,7/1/2023
ORD-400038,CUST-1349,PROD-103,BR-16,AG-52,"Thursday, November 30, 2023",41201.8,Cash,41201.8,0,0,0.15,0,0,0,Retail,Website,EGP,12/30/2023
ORD-400039,CUST-1172,PROD-102,BR-18,AG-54,"Friday, January 20, 2023",32426.74,Installments,6485.35,25941.39,24,0.15,1080.89,12318.22,0,Retail,Website,EGP,2/19/2023
ORD-400040,CUST-1177,PROD-114,BR-17,AG-53,"Sunday, October 29, 2023",22053.66,Cash,22053.66,0,0,0.15,0,0,180,Retail,Website,EGP,11/28/2023
ORD-400041,CUST-1213,PROD-105,BR-13,AG-51,"Sunday, January 8, 2023",38577.1,Cash,38577.1,0,0,0.15,0,0,0,Retail,Website,EGP,2/7/2023
ORD-400042,CUST-1012,PROD-113,BR-16,AG-52,"Sunday, May 21, 2023",7064.07,Cash,7064.07,0,12,0.15,0,2500.5,0,Retail,Website,EGP,6/20/2023
ORD-400043,CUST-1108,PROD-111,BR-17,AG-50,"Wednesday, February 1, 2023",37996.15,Cash,37996.15,0,0,0.15,0,0,0,Retail,Website,EGP,3/3/2023
ORD-400044,CUST-1359,PROD-113,BR-12,AG-55,"Sunday, September 24, 2023",63395.7,Cash,63395.7,0,0,0.15,0,0,0,Retail,Website,EGP,10/24/2023
ORD-400045,CUST-1030,PROD-104,BR-15,AG-55,"Sunday, July 2, 2023",27104.21,Cash,27104.21,0,12,0.15,0,2500.5,0,Retail,Website,EGP,8/1/2023
ORD-400046,CUST-1258,PROD-105,BR-13,AG-54,"Wednesday, January 18, 2023",33544.35,Installments,6708.87,26835.48,24,0.15,1118.14,17048.58,0,Retail,Website,EGP,2/17/2023
ORD-400047,CUST-1204,PROD-111,BR-10,AG-51,"Wednesday, June 14, 2023",76423.88,Installments,15284.78,61139.1,12,0.15,5094.93,48377.44,0,Retail,Website,EGP,7/14/2023
ORD-400048,CUST-1250,PROD-115,BR-17,AG-55,"Saturday, January 14, 2023",79571.91,Installments,15914.38,63657.53,6,0.15,10609.59,43793.77,0,Retail,Website,EGP,2/13/2023
ORD-400049,CUST-1344,PROD-108,BR-14,AG-54,"Saturday, May 13, 2023",44087.48,Installments,8817.5,35269.98,6,0.15,5878.33,29905.98,0,Retail,Website,EGP,6/12/2023
ORD-400050,CUST-1002,PROD-113,BR-17,AG-52,"Thursday, January 25, 2024",74362.23,Installments,14872.45,59489.78,12,0.15,4957.48,54302.81,0,Retail,Website,EGP,2/24/2024
ORD-400051,CUST-1478,PROD-101,BR-13,AG-55,"Sunday, January 22, 2023",20429.99,Cash,20429.99,0,0,0.15,0,0,0,Retail,Website,EGP,2/21/2023
ORD-400052,CUST-1280,PROD-105,BR-13,AG-50,"Friday, April 28, 2023",9012.51,Installments,1802.5,7210.01,24,0.15,300.42,6097.52,0,Retail,Website,EGP,5/28/2023
ORD-400053,CUST-1031,PROD-106,BR-12,AG-55,"Saturday, March 4, 2023",37238.28,Installments,7447.66,29790.62,6,0.15,4965.1,24852.24,0,Retail,Website,EGP,4/3/2023
ORD-400054,CUST-1182,PROD-108,BR-10,AG-51,"Monday, June 26, 2023",42109.05,Cash,42109.05,0,0,0.15,0,0,0,Retail,Website,EGP,7/26/2023
ORD-400055,CUST-1449,PROD-104,BR-14,AG-51,"Tuesday, February 7, 2023",52062.87,Installments,10412.57,41650.3,6,0.15,6941.72,40934.65,0,Retail,Website,EGP,3/9/2023
ORD-400056,CUST-1416,PROD-111,BR-11,AG-52,"Sunday, July 2, 2023",17120.35,Installments,3424.07,13696.28,12,0.15,1141.36,3852.36,0,Retail,Website,EGP,8/1/2023
ORD-400057,CUST-1180,PROD-101,BR-10,AG-51,"Tuesday, July 11, 2023",38687.59,Installments,7737.52,30950.07,24,0.15,1289.59,28568.63,0,Retail,Website,EGP,8/10/2023
ORD-400058,CUST-1400,PROD-100,BR-13,AG-50,"Wednesday, August 30, 2023",73914.13,Cash,73914.13,0,0,0.15,0,0,0,Retail,Website,EGP,9/29/2023
ORD-400059,CUST-1013,PROD-103,BR-18,AG-52,"Monday, October 23, 2023",6745.23,Cash,6745.23,0,0,0.15,0,0,75,Retail,Website,EGP,11/22/2023
ORD-400060,CUST-1253,PROD-114,BR-13,AG-53,"Wednesday, March 29, 2023",67644.53,Installments,13528.91,54115.62,6,0.15,9019.27,42331.95,0,Retail,Website,EGP,4/28/2023
ORD-400061,CUST-1094,PROD-109,BR-13,AG-54,"Thursday, October 26, 2023",38141.16,Cash,38141.16,0,0,0.15,0,0,0,Retail,Website,EGP,11/25/2023
ORD-400062,CUST-1345,PROD-108,BR-12,AG-53,"Tuesday, November 28, 2023",15434.43,Installments,3086.89,12347.54,24,0.15,514.48,7544.12,0,Retail,Website,EGP,12/28/2023
ORD-400063,CUST-1390,PROD-108,BR-17,AG-55,"Thursday, May 18, 2023",32858.94,Installments,6571.79,26287.15,12,0.15,2190.6,680.88,0,Retail,Website,EGP,6/17/2023
ORD-400064,CUST-1094,PROD-113,BR-11,AG-53,"Sunday, June 11, 2023",23091.74,Installments,4618.35,18473.39,6,0.15,3078.9,14753.66,0,Retail,Website,EGP,7/11/2023
ORD-400065,CUST-1466,PROD-109,BR-17,AG-54,"Sunday, January 8, 2023",7182.19,Cash,7182.19,0,12,0.15,0,2500.5,0,Retail,Website,EGP,2/7/2023
ORD-400066,CUST-1471,PROD-104,BR-16,AG-54,"Wednesday, January 24, 2024",WRONG_DATA,Cash,76856.34,0,0,0.15,0,0,180,Retail,Website,EGP,2/23/2024
ORD-400067,CUST-1265,PROD-109,BR-16,AG-55,"Monday, January 22, 2024",65010.19,Cash,65010.19,0,0,0.15,0,0,75,Retail,Website,EGP,2/21/2024
ORD-400068,CUST-1126,PROD-113,BR-16,AG-54,"Saturday, August 19, 2023",28450.3,Cash,28450.3,0,0,0.15,0,0,0,Retail,Website,EGP,9/18/2023
ORD-400069,CUST-1153,PROD-101,BR-18,AG-50,"Tuesday, April 4, 2023",58476.32,Cash,58476.32,0,0,0.15,0,0,0,Retail,Website,EGP,5/4/2023
ORD-400070,CUST-1492,PROD-106,BR-16,AG-50,"Saturday, May 6, 2023",25516.13,Cash,25516.13,0,0,0.15,0,0,15,Retail,Website,EGP,6/5/2023
ORD-400071,CUST-1367,PROD-112,BR-15,AG-55,"Thursday, February 2, 2023",71250.73,Cash,71250.73,0,0,0.15,0,0,0,Retail,Website,EGP,3/4/2023
ORD-400072,CUST-1331,PROD-115,BR-10,AG-50,"Saturday, March 4, 2023",58347.97,Installments,11669.59,46678.38,24,0.15,1944.93,26828.92,0,Retail,Website,EGP,4/3/2023
ORD-400073,CUST-1449,PROD-105,BR-18,AG-53,"Saturday, July 1, 2023",NULL_VAL,Cash,47606.39,0,0,0.15,0,0,0,Retail,Website,EGP,7/31/2023
ORD-400074,CUST-1141,PROD-101,BR-14,AG-53,"Saturday, February 4, 2023",13082.48,Installments,2616.5,10465.98,6,0.15,1744.33,7358.97,75,Retail,Website,EGP,3/6/2023
ORD-400075,CUST-1030,PROD-114,BR-18,AG-55,"Tuesday, February 7, 2023",45302.42,Cash,45302.42,0,0,0.15,0,0,15,Retail,Website,EGP,3/9/2023
ORD-400076,CUST-1087,PROD-113,BR-12,AG-54,"Monday, January 1, 2024",10879.62,Installments,2175.92,8703.7,12,0.15,725.31,8609.31,0,Retail,Website,EGP,1/31/2024
ORD-400077,CUST-1399,PROD-100,BR-11,AG-54,"Tuesday, November 14, 2023",29899.63,Cash,29899.63,0,0,0.15,0,0,0,Retail,Website,EGP,12/14/2023
ORD-400078,CUST-1383,PROD-114,BR-15,AG-54,"Friday, August 11, 2023",62739.51,Cash,62739.51,0,0,0.15,0,0,0,Retail,Website,EGP,9/10/2023
ORD-400079,CUST-1092,PROD-112,BR-18,AG-51,"Monday, July 31, 2023",58044.86,Cash,58044.86,0,0,0.15,0,0,0,Retail,Website,EGP,8/30/2023
ORD-400080,CUST-1265,PROD-103,BR-13,AG-54,"Sunday, July 23, 2023",14198.41,Installments,2839.68,11358.73,24,0.15,473.28,6099.91,0,Retail,Website,EGP,8/22/2023
ORD-400081,CUST-1260,PROD-108,BR-14,AG-51,"Tuesday, January 30, 2024",55130.62,Cash,55130.62,0,12,0.15,0,2500.5,0,Retail,Website,EGP,2/29/2024
ORD-400082,CUST-1331,PROD-109,BR-16,AG-53,"Saturday, January 7, 2023",41797.04,Installments,8359.41,33437.63,12,0.15,2786.47,-150.75,0,Retail,Website,EGP,2/6/2023
ORD-400083,CUST-1378,PROD-112,BR-15,AG-51,"Monday, March 6, 2023",17175.32,Cash,17175.32,0,0,0.15,0,0,0,Retail,Website,EGP,4/5/2023
ORD-400084,CUST-1354,PROD-107,BR-12,AG-54,"Friday, January 13, 2023",13890.63,Cash,13890.63,0,0,0.15,0,0,0,Retail,Website,EGP,2/12/2023
ORD-400085,CUST-1059,PROD-112,BR-16,AG-55,"Monday, August 28, 2023",9544.02,Installments,1908.8,7635.22,6,0.15,1272.54,2120.03,0,Retail,Website,EGP,9/27/2023
ORD-400086,CUST-1493,PROD-109,BR-18,AG-52,"Tuesday, November 7, 2023",61905.39,Installments,12381.08,49524.31,6,0.15,8254.05,25128.49,0,Retail,Website,EGP,12/7/2023
ORD-400087,CUST-1397,PROD-110,BR-18,AG-52,"Friday, November 3, 2023",26935.49,Installments,5387.1,21548.39,6,0.15,3591.4,20577.14,0,Retail,Website,EGP,12/3/2023
ORD-400088,CUST-1371,PROD-104,BR-17,AG-55,"Saturday, August 5, 2023",14841.21,Installments,2968.24,11872.97,6,0.15,1978.83,10462.38,3,Retail,Website,EGP,9/4/2023
ORD-400089,CUST-1444,PROD-107,BR-10,AG-50,"Friday, April 7, 2023",50108.24,Cash,50108.24,0,0,0.15,0,0,0,Retail,Website,EGP,5/7/2023
ORD-400090,CUST-1049,PROD-110,BR-17,AG-50,"Wednesday, November 29, 2023",19935.87,Installments,3987.17,15948.7,12,0.15,1329.06,8000.63,0,Retail,Website,EGP,12/29/2023
ORD-400091,CUST-1182,PROD-111,BR-13,AG-54,"Sunday, January 14, 2024",7043.17,Cash,7043.17,0,0,0.15,0,0,0,Retail,Website,EGP,2/13/2024
ORD-400092,CUST-1119,PROD-104,BR-12,AG-54,"Friday, October 20, 2023",64961.97,Installments,12992.39,51969.58,6,0.15,8661.6,28942.49,0,Retail,Website,EGP,11/19/2023
ORD-400093,CUST-1438,PROD-115,BR-15,AG-52,"Sunday, November 5, 2023",67609,Installments,13521.8,54087.2,24,0.15,2253.63,10742.53,0,Retail,Website,EGP,12/5/2023
ORD-400094,CUST-1181,PROD-104,BR-14,AG-53,"Friday, April 28, 2023",26284.03,Cash,26284.03,0,0,0.15,0,0,0,Retail,Website,EGP,5/28/2023
ORD-400095,CUST-1500,PROD-101,BR-12,AG-52,"Tuesday, November 7, 2023",63482.63,Installments,12696.53,50786.1,12,0.15,4232.18,46955.91,0,Retail,Website,EGP,12/7/2023
ORD-400096,CUST-1111,PROD-109,BR-17,AG-50,"Sunday, November 26, 2023",29684.38,Cash,29684.38,0,0,0.15,0,0,0,Retail,Website,EGP,12/26/2023
ORD-400097,CUST-1096,PROD-100,BR-13,AG-52,"Sunday, May 7, 2023",32721.03,Cash,32721.03,0,0,0.15,0,0,0,Retail,Website,EGP,6/6/2023
ORD-400098,CUST-1102,PROD-109,BR-14,AG-54,"Sunday, January 1, 2023",63319.86,Cash,63319.86,0,0,0.15,0,0,0,Retail,Website,EGP,1/31/2023
ORD-400099,CUST-1456,PROD-101,BR-13,AG-55,"Friday, October 6, 2023",44291.43,Cash,44291.43,0,0,0.15,0,0,0,Retail,Website,EGP,11/5/2023
ORD-400100,CUST-1474,PROD-109,BR-15,AG-54,"Wednesday, September 13, 2023",34602.38,Installments,6920.48,27681.9,12,0.15,2306.82,3667.88,0,Retail,Website,EGP,10/13/2023
ORD-400101,CUST-1276,PROD-110,BR-16,AG-50,"Sunday, March 12, 2023",56861.1,Cash,56861.1,0,0,0.15,0,0,0,Retail,Website,EGP,4/11/2023
ORD-400102,CUST-1391,PROD-114,BR-14,AG-54,"Wednesday, August 2, 2023",62765.2,Cash,62765.2,0,0,0.15,0,0,0,Retail,Website,EGP,9/1/2023
ORD-400103,CUST-1127,PROD-114,BR-13,AG-55,"Sunday, January 28, 2024",23033.7,Cash,23033.7,0,0,0.15,0,0,0,Retail,Website,EGP,2/27/2024
ORD-400104,CUST-1275,PROD-100,BR-14,AG-53,"Friday, November 10, 2023",62727.27,Cash,62727.27,0,0,0.15,0,0,0,Retail,Website,EGP,12/10/2023
ORD-400105,CUST-1290,PROD-100,BR-17,AG-55,"Wednesday, October 25, 2023",31819.83,Cash,31819.83,0,0,0.15,0,0,0,Retail,Website,EGP,11/24/2023
ORD-400106,CUST-1379,PROD-106,BR-18,AG-53,"Friday, September 8, 2023",51682.56,Cash,51682.56,0,0,0.15,0,0,0,Retail,Website,EGP,10/8/2023
ORD-400107,CUST-1494,PROD-112,BR-18,AG-50,"Wednesday, June 21, 2023",23819.44,Cash,23819.44,0,0,0.15,0,0,0,Retail,Website,EGP,7/21/2023
ORD-400108,CUST-1326,PROD-105,BR-12,AG-53,"Monday, January 16, 2023",42797.5,Installments,8559.5,34238,24,0.15,1426.58,27157.21,0,Retail,Website,EGP,2/15/2023
ORD-400109,CUST-1073,PROD-107,BR-17,AG-55,"Wednesday, June 7, 2023",19752.63,Cash,19752.63,0,0,0.15,0,0,0,Retail,Website,EGP,7/7/2023
ORD-400110,CUST-1270,PROD-114,BR-11,AG-54,"Saturday, December 2, 2023",66854.7,Installments,13370.94,53483.76,6,0.15,8913.96,16051.57,0,Retail,Website,EGP,1/1/2024
ORD-400111,CUST-1024,PROD-101,BR-11,AG-53,"Monday, November 6, 2023",27986.92,Installments,5597.38,22389.54,6,0.15,3731.59,13518.1,0,Retail,Website,EGP,12/6/2023
ORD-400112,CUST-1075,PROD-105,BR-15,AG-53,"Thursday, November 2, 2023",64608.48,Cash,64608.48,0,0,0.15,0,0,0,Retail,Website,EGP,12/2/2023
ORD-400113,CUST-1074,PROD-112,BR-16,AG-54,"Friday, June 16, 2023",38157.83,Cash,38157.83,0,0,0.15,0,0,0,Retail,Website,EGP,7/16/2023
ORD-400114,CUST-1392,PROD-115,BR-14,AG-51,"Wednesday, August 2, 2023",19165.3,Installments,3833.06,15332.24,12,0.15,1277.69,6416,0,Retail,Website,EGP,9/1/2023
ORD-400115,CUST-1222,PROD-110,BR-16,AG-52,"Wednesday, June 21, 2023",40708.14,Cash,40708.14,0,0,0.15,0,0,0,Retail,Website,EGP,7/21/2023
ORD-400116,CUST-1002,PROD-112,BR-15,AG-50,"Thursday, March 9, 2023",47250.71,Installments,9450.14,37800.57,24,0.15,1575.02,17999.02,0,Retail,Website,EGP,4/8/2023
ORD-400117,CUST-1217,PROD-112,BR-17,AG-52,"Friday, July 14, 2023",43298.23,Installments,8659.65,34638.58,6,0.15,5773.1,16061.45,0,Retail,Website,EGP,8/13/2023
ORD-400118,CUST-1089,PROD-112,BR-11,AG-51,"Tuesday, September 5, 2023",70846.13,Installments,14169.23,56676.9,12,0.15,4723.08,17571.95,3,Retail,Website,EGP,10/5/2023
ORD-400119,CUST-1381,PROD-100,BR-13,AG-51,"Monday, March 20, 2023",25590.73,Cash,25590.73,0,0,0.15,0,0,0,Retail,Website,EGP,4/19/2023
ORD-400120,CUST-1185,PROD-103,BR-11,AG-51,"Friday, January 13, 2023",73716.16,Installments,14743.23,58972.93,12,0.15,4914.41,9896.99,15,Retail,Website,EGP,2/12/2023
ORD-400121,CUST-1460,PROD-108,BR-10,AG-50,"Sunday, July 16, 2023",41815.47,Cash,41815.47,0,0,0.15,0,0,0,Retail,Website,EGP,8/15/2023
ORD-400122,CUST-1432,PROD-109,BR-17,AG-53,"Friday, January 5, 2024",45281.75,Cash,45281.75,0,0,0.15,0,0,0,Retail,Website,EGP,2/4/2024
ORD-400123,CUST-1262,PROD-113,BR-10,AG-54,"Monday, January 16, 2023",70470.7,Cash,70470.7,0,12,0.15,0,2500.5,0,Retail,Website,EGP,2/15/2023
ORD-400124,CUST-1199,PROD-102,BR-18,AG-51,"Saturday, April 1, 2023",20562.61,Cash,20562.61,0,0,0.15,0,0,3,Retail,Website,EGP,5/1/2023
ORD-400125,CUST-1143,PROD-108,BR-15,AG-52,"Tuesday, July 11, 2023",55581.87,Installments,11116.37,44465.5,12,0.15,3705.46,32306.7,0,Retail,Website,EGP,8/10/2023
ORD-400126,CUST-1388,PROD-103,BR-15,AG-53,"Wednesday, November 1, 2023",24081.87,Cash,24081.87,0,0,0.15,0,0,75,Retail,Website,EGP,12/1/2023
ORD-400127,CUST-1114,PROD-108,BR-17,AG-51,"Monday, April 10, 2023",54969.21,Cash,54969.21,0,0,0.15,0,0,0,Retail,Website,EGP,5/10/2023
ORD-400128,CUST-1185,PROD-112,BR-14,AG-54,"Monday, January 1, 2024",44025.97,Installments,8805.19,35220.78,6,0.15,5870.13,17099.63,0,Retail,Website,EGP,1/31/2024
ORD-400129,CUST-1377,PROD-107,BR-16,AG-51,"Wednesday, August 30, 2023",31162.51,Cash,31162.51,0,0,0.15,0,0,0,Retail,Website,EGP,9/29/2023
ORD-400130,CUST-1358,PROD-108,BR-12,AG-51,"Tuesday, May 23, 2023",34346.26,Installments,6869.25,27477.01,12,0.15,2289.75,17079.09,0,Retail,Website,EGP,6/22/2023
ORD-400131,CUST-1361,PROD-110,BR-10,AG-51,"Wednesday, September 13, 2023",7949.32,Installments,1589.86,6359.46,24,0.15,264.98,4232.35,0,Retail,Website,EGP,10/13/2023
ORD-400132,CUST-1367,PROD-105,BR-15,AG-51,"Tuesday, November 28, 2023",69607.31,Cash,69607.31,0,0,0.15,0,0,0,Retail,Website,EGP,12/28/2023
ORD-400133,CUST-1000,PROD-115,BR-17,AG-52,"Tuesday, December 19, 2023",69663.65,Cash,69663.65,0,12,0.15,0,2500.5,0,Retail,Website,EGP,1/18/2024
ORD-400134,CUST-1181,PROD-108,BR-14,AG-54,"Sunday, May 28, 2023",29176.24,Installments,5835.25,23340.99,24,0.15,972.54,18560.39,0,Retail,Website,EGP,6/27/2023
ORD-400135,CUST-1358,PROD-111,BR-14,AG-54,"Tuesday, October 17, 2023",74661.7,Installments,14932.34,59729.36,24,0.15,2488.72,13036.79,0,Retail,Website,EGP,11/16/2023
ORD-400136,CUST-1007,PROD-105,BR-12,AG-54,"Monday, January 1, 2024",45599.84,Cash,45599.84,0,0,0.15,0,0,0,Retail,Website,EGP,1/31/2024
ORD-400137,CUST-1244,PROD-107,BR-12,AG-52,"Friday, January 6, 2023",41045.92,Cash,41045.92,0,0,0.15,0,0,0,Retail,Website,EGP,2/5/2023
ORD-400138,CUST-1207,PROD-112,BR-10,AG-54,"Monday, July 24, 2023",69443.58,Installments,13888.72,55554.86,24,0.15,2314.79,14407.2,0,Retail,Website,EGP,8/23/2023
ORD-400139,CUST-1185,PROD-111,BR-10,AG-51,"Monday, February 13, 2023",6839.42,Installments,1367.88,5471.54,6,0.15,911.92,1368.91,0,Retail,Website,EGP,3/15/2023
ORD-400140,CUST-1389,PROD-113,BR-13,AG-55,"Thursday, August 3, 2023",70403.53,Installments,14080.71,56322.82,24,0.15,2346.78,30031.67,0,Retail,Website,EGP,9/2/2023
ORD-400141,CUST-1042,PROD-100,BR-14,AG-52,"Thursday, March 23, 2023",32202.52,Cash,32202.52,0,0,0.15,0,0,0,Retail,Website,EGP,4/22/2023
ORD-400142,CUST-1276,PROD-112,BR-14,AG-51,"Thursday, August 3, 2023",17459.85,Cash,17459.85,0,0,0.15,0,0,0,Retail,Website,EGP,9/2/2023
ORD-400143,CUST-1410,PROD-105,BR-17,AG-54,"Thursday, October 12, 2023",35936.52,Cash,35936.52,0,0,0.15,0,0,0,Retail,Website,EGP,11/11/2023
ORD-400144,CUST-1364,PROD-106,BR-12,AG-52,"Tuesday, January 16, 2024",74488.82,Cash,74488.82,0,0,0.15,0,0,0,Retail,Website,EGP,2/15/2024
