Order_ID,Customer_ID,Product_ID,Branch_ID,Agent_ID,Order_Date,Total_Value,Payment_Method,Down_Payment,Net_Financed,Months_Term,Interest_Rate,Monthly_Installment,Remaining_Balance,Days_Past_Due,Currency,Next_Due_Date
ORD-10018,CUST-264,PROD-137,BR-1,AG-22,11/15/2024,56631.48,Installments,11326.3,45305.18,12,0.2,3775.43,22652.59,0,EGP,4/4/2026
ORD-10019,CUST-854,PROD-51,BR-1,AG-15,3/17/2024,49641.84,Installments,9928.37,39713.47,12,0.2,3309.46,19856.74,15,EGP,4/4/2026
ORD-10020,CUST-484,PROD-82,BR-1,AG-21,11/2/2024,84933.76,Installments,16986.75,67947.01,12,0.2,5662.25,33973.5,0,EGP,4/4/2026
ORD-10021,CUST-663,PROD-149,BR-9,AG-23,1/12/2025,48531.3,Installments,9706.26,38825.04,12,0.2,3235.42,19412.52,0,EGP,4/4/2026
ORD-10022,CUST-691,PROD-161,BR-10,AG-13,10/12/2024,72691.79,Installments,14538.36,58153.43,12,0.2,4846.12,29076.72,15,EGP,4/4/2026
ORD-10023,CUST-758,PROD-134,BR-6,AG-21,9/14/2024,50054.06,Installments,10010.81,40043.25,12,0.2,3336.94,20021.62,0,EGP,4/4/2026
ORD-10024,CUST-786,PROD-87,BR-5,AG-17,5/29/2024,34196.25,Cash,34196.25,0,0,0,0,0,0,Pound,
ORD-10025,CUST-591,PROD-200,BR-2,AG-9,1/5/2024,82773.99,Installments,16554.8,66219.19,12,0.2,5518.27,33109.6,0,EGP,4/4/2026
ORD-10026,CUST-940,PROD-76,BR-8,AG-18,9/7/2024,83215.98,Installments,16643.2,66572.78,12,0.2,5547.73,33286.39,45,EGP,4/4/2026
ORD-10027,CUST-124,PROD-128,BR-5,AG-15,8/14/2024,64451.31,Cash,64451.31,0,0,0,0,0,0,EGP,
ORD-10028,CUST-438,PROD-145,BR-5,AG-20,2/26/2024,38016.49,Cash,38016.49,0,0,0,0,0,0,EGP,
ORD-10029,CUST-247,PROD-92,BR-1,AG-16,6/24/2024,38581.81,Cash,38581.81,0,0,0,0,0,0,Pound,
ORD-10030,CUST-362,PROD-85,BR-3,AG-11,1/13/2024,47853.76,Cash,47853.76,0,0,0,0,0,0,EGP,
ORD-10031,CUST-337,PROD-101,BR-10,AG-2,9/4/2024,18573.15,Installments,3714.63,14858.52,12,0.2,1238.21,7429.26,0,EGP,4/4/2026
ORD-10032,CUST-578,PROD-121,BR-7,AG-18,4/9/2024,50780.47,Installments,10156.09,40624.38,12,0.2,3385.36,20312.19,45,EGP,1/1/1900
ORD-10033,CUST-690,PROD-92,BR-3,AG-18,5/22/2024,38054.81,Installments,7610.96,30443.85,12,0.2,2536.99,15221.92,0,EGP,4/4/2026
ORD-10034,CUST-560,PROD-172,BR-4,AG-4,8/17/2024,68577.11,Installments,13715.42,54861.69,12,0.2,4571.81,27430.84,0,EGP,4/4/2026
ORD-10035,CUST-339,PROD-122,BR-9,AG-11,6/17/2024,85265.66,Installments,17053.13,68212.53,12,0.2,5684.38,34106.26,45,EGP,1/1/1900
ORD-10036,CUST-670,PROD-113,BR-10,AG-1,2/16/2024,85921.44,Installments,17184.29,68737.15,12,0.2,5728.1,34368.58,0,EGP,4/4/2026
ORD-10037,CUST-353,PROD-128,BR-6,AG-8,2/29/2024,61757.59,Installments,12351.52,49406.07,12,0.2,4117.17,24703.04,0,Pound,4/4/2026
ORD-10038,CUST-255,PROD-97,BR-1,AG-2,1/9/2024,87865.78,Installments,17573.16,70292.62,12,0.2,5857.72,35146.31,0,egp,4/4/2026
ORD-10039,CUST-532,PROD-189,BR-2,AG-20,8/27/2024,12940.98,Installments,2588.2,10352.78,12,0.2,862.73,5176.39,45,EGP,4/4/2026
ORD-10040,CUST-672,PROD-118,BR-5,AG-4,7/7/2024,86995.4,Installments,17399.08,69596.32,12,0.2,0,34798.16,0,EGP,4/4/2026
ORD-10041,CUST-841,PROD-137,BR-3,AG-21,12/30/2028,62651.35,Installments,12530.27,50121.08,12,0.2,4176.76,25060.54,0,EGP,4/4/2026
ORD-10042,CUST-913,PROD-57,BR-7,AG-21,7/21/2024,20359.55,Installments,4071.91,16287.64,12,0.2,1357.3,8143.82,15,EGP,4/4/2026
ORD-10043,CUST-707,PROD-169,BR-4,AG-18,7/20/2024,18366.47,Installments,3673.29,14693.18,12,0.2,0,7346.59,0,EGP,1/1/1900
ORD-10044,CUST-212,PROD-165,BR-5,AG-20,12/15/2024,76193.83,Cash,76193.83,0,0,0,0,0,0,EGP,
ORD-10045,CUST-188,PROD-136,BR-10,AG-24,1/29/2025,67121.4,Installments,13424.28,53697.12,12,0.2,4474.76,26848.56,120,EGP,4/4/2026
ORD-10046,CUST-311,PROD-150,BR-7,AG-4,3/19/2024,51911.27,Installments,10382.25,41529.02,12,0.2,3460.75,20764.51,0,EGP,4/4/2026
ORD-10047,CUST-256,PROD-92,BR-5,AG-15,2/4/2024,52615.71,Cash,52615.71,0,0,0,0,0,0,EGP,
ORD-10048,CUST-921,PROD-118,BR-7,AG-10,9/25/2024,28583.4,Installments,5716.68,22866.72,12,0.2,1905.56,11433.36,0,EGP,4/4/2026
ORD-10049,CUST-468,PROD-60,BR-2,AG-8,9/27/2024,59412.07,Cash,59412.07,0,0,0,0,0,0,EGP,
ORD-10050,CUST-398,PROD-74,BR-8,AG-25,8/8/2024,35373.35,Installments,7074.67,28298.68,12,0.2,2358.22,14149.34,0,EGP,4/4/2026
ORD-10051,CUST-412,PROD-121,BR-6,AG-3,11/16/2024,82050.05,Installments,16410.01,65640.04,12,0.2,5470,32820.02,0,EGP,4/4/2026
ORD-10052,CUST-899,PROD-65,BR-10,AG-25,6/7/2024,28959.93,Installments,5791.99,23167.94,12,0.2,1930.66,11583.97,0,EGP,4/4/2026
ORD-10053,CUST-597,PROD-58,BR-7,AG-22,7/25/2024,39917.53,Installments,7983.51,31934.02,12,0.2,2661.17,15967.01,120,egp,4/4/2026
ORD-10054,CUST-491,PROD-180,BR-5,AG-1,7/8/2024,46821.47,Installments,9364.29,37457.18,12,0.2,3121.43,18728.59,120,egp,4/4/2026
ORD-10055,CUST-629,PROD-200,BR-1,AG-14,12/17/2024,79412.76,Installments,15882.55,63530.21,12,0.2,5294.18,31765.1,0,Pound,4/4/2026
ORD-10056,CUST-195,PROD-171,BR-5,AG-7,5/19/2024,27548.75,Installments,5509.75,22039,12,0.2,1836.58,11019.5,120,EGP,4/4/2026
ORD-10057,CUST-720,PROD-65,BR-3,AG-14,7/13/2024,74739.99,Cash,74739.99,0,0,0,0,0,0,EGP,
ORD-10058,CUST-664,PROD-75,BR-9,AG-19,3/10/2024,72979.55,Installments,14595.91,58383.64,12,0.2,4865.3,29191.82,45,Pound,4/4/2026
ORD-10059,CUST-224,PROD-89,BR-9,AG-1,4/9/2024,61068.99,Cash,61068.99,0,0,0,0,0,0,EGP,
ORD-10060,CUST-153,PROD-175,BR-8,AG-17,8/29/2024,18834.85,Installments,3766.97,15067.88,12,0.2,1255.66,7533.94,0,EGP,4/4/2026
ORD-10061,CUST-943,PROD-94,BR-8,AG-4,2/17/2024,67464.76,Installments,13492.95,53971.81,12,0.2,4497.65,26985.9,0,EGP,4/4/2026
ORD-10062,CUST-706,PROD-79,BR-5,AG-9,9/11/2024,35466.48,Installments,7093.3,28373.18,12,0.2,2364.43,14186.59,0,EGP,4/4/2026
ORD-10063,CUST-765,PROD-79,BR-3,AG-2,1/4/2024,12089.12,Installments,2417.82,9671.3,12,0.2,805.94,4835.65,0,EGP,4/4/2026
ORD-10064,CUST-791,PROD-162,BR-9,AG-14,9/26/2024,82893.42,Installments,16578.68,66314.74,12,0.2,5526.23,33157.37,0,EGP,4/4/2026
ORD-10065,CUST-790,PROD-104,BR-10,AG-3,6/27/2024,25928.16,Installments,5185.63,20742.53,12,0.2,1728.54,10371.26,0,EGP,1/1/1900
ORD-10066,CUST-282,PROD-76,BR-10,AG-19,2/2/2025,71534.7,Cash,71534.7,0,0,0,0,0,0,EGP,
ORD-10067,CUST-547,PROD-99,BR-6,AG-3,12/3/2024,14460.38,Installments,2892.08,11568.3,12,0.2,964.03,5784.15,0,EGP,4/4/2026
ORD-10068,CUST-155,PROD-174,BR-3,AG-13,11/29/2024,89546.15,Installments,17909.23,71636.92,12,0.2,5969.74,35818.46,15,EGP,4/4/2026
ORD-10069,CUST-765,PROD-193,BR-3,AG-22,8/26/2024,40455.89,Installments,8091.18,32364.71,12,0.2,2697.06,16182.36,0,egp,4/4/2026
ORD-10070,CUST-277,PROD-170,BR-6,AG-18,3/9/2024,57612.94,Installments,11522.59,46090.35,12,0.2,3840.86,23045.18,0,egp,4/4/2026
ORD-10071,CUST-637,PROD-190,BR-3,AG-14,6/6/2024,82388.15,Installments,16477.63,65910.52,12,0.2,5492.54,32955.26,0,EGP,4/4/2026
ORD-10072,CUST-597,PROD-197,BR-9,AG-11,1/8/2025,11840.21,Installments,2368.04,9472.17,12,0.2,789.35,4736.08,0,Pound,4/4/2026
ORD-10073,CUST-676,PROD-184,BR-10,AG-3,1/8/2024,24320.19,Installments,4864.04,19456.15,12,0.2,0,9728.08,15,EGP,4/4/2026
ORD-10074,CUST-578,PROD-158,BR-7,AG-11,7/5/2024,82091.85,Installments,16418.37,65673.48,12,0.2,5472.79,32836.74,0,EGP,4/4/2026
ORD-10075,CUST-701,PROD-136,BR-1,AG-19,11/17/2024,48010.26,Installments,9602.05,38408.21,12,0.2,3200.68,19204.1,0,EGP,4/4/2026
ORD-10076,CUST-608,PROD-159,BR-2,AG-2,7/31/2024,74244.25,Installments,14848.85,59395.4,12,0.2,4949.62,29697.7,0,egp,4/4/2026
ORD-10077,CUST-246,PROD-62,BR-5,AG-15,8/1/2024,53546.5,Installments,10709.3,42837.2,12,0.2,3569.77,21418.6,0,EGP,4/4/2026
ORD-10078,CUST-433,PROD-140,BR-7,AG-17,6/13/2024,85548.61,Installments,17109.72,68438.89,12,0.2,0,34219.44,0,EGP,4/4/2026
ORD-10079,CUST-528,PROD-71,BR-5,AG-17,9/13/2024,64016.59,Installments,12803.32,51213.27,12,0.2,4267.77,25606.64,0,EGP,4/4/2026
ORD-10080,CUST-312,PROD-65,BR-8,AG-14,10/2/2024,82461.3,Installments,16492.26,65969.04,12,0.2,5497.42,32984.52,0,EGP,4/4/2026
ORD-10081,CUST-331,PROD-123,BR-3,AG-10,3/3/2024,20758.8,Installments,4151.76,16607.04,12,0.2,1383.92,8303.52,0,Pound,4/4/2026
ORD-10082,CUST-329,PROD-187,BR-7,AG-23,11/30/2024,76328.94,Installments,15265.79,61063.15,12,0.2,5088.6,30531.58,0,EGP,4/4/2026
ORD-10083,CUST-157,PROD-61,BR-3,AG-19,4/30/2024,67889.54,Cash,67889.54,0,0,0,0,0,0,EGP,
ORD-10084,CUST-191,PROD-50,BR-5,AG-11,6/22/2024,30775,Installments,6155,24620,12,0.2,0,12310,0,EGP,4/4/2026
ORD-10085,CUST-329,PROD-182,BR-3,AG-23,11/5/2024,24005.72,Cash,24005.72,0,0,0,0,0,0,EGP,
ORD-10086,CUST-263,PROD-151,BR-4,AG-18,7/1/2024,61831.89,Cash,61831.89,0,0,0,0,0,0,EGP,
ORD-10087,CUST-398,PROD-194,BR-2,AG-25,5/31/2024,45243.17,Installments,9048.63,36194.54,12,0.2,0,18097.27,0,egp,4/4/2026
ORD-10088,CUST-384,PROD-159,BR-7,AG-2,1/15/2024,85878.72,Installments,17175.74,68702.98,12,0.2,5725.25,34351.49,0,egp,4/4/2026
ORD-10089,CUST-577,PROD-57,BR-1,AG-25,3/10/2024,47765.2,Installments,9553.04,38212.16,12,0.2,3184.35,19106.08,45,EGP,4/4/2026
ORD-10090,CUST-408,PROD-101,BR-5,AG-13,11/5/2024,65799.84,Installments,13159.97,52639.87,12,0.2,4386.66,26319.94,0,EGP,4/4/2026
ORD-10091,CUST-445,PROD-70,BR-9,AG-20,11/28/2024,66038.55,Cash,66038.55,0,0,0,0,0,0,EGP,
ORD-10092,CUST-125,PROD-96,BR-8,AG-17,5/19/2024,45406.29,Installments,9081.26,36325.03,12,0.2,3027.09,18162.52,0,EGP,4/4/2026
ORD-10093,CUST-141,PROD-71,BR-3,AG-3,9/14/2024,86933.29,Installments,17386.66,69546.63,12,0.2,5795.55,34773.32,0,Pound,4/4/2026
ORD-10094,CUST-441,PROD-189,BR-8,AG-14,10/21/2024,42282.94,Installments,8456.59,33826.35,12,0.2,2818.86,16913.18,0,EGP,4/4/2026
ORD-10095,CUST-303,PROD-160,BR-5,AG-12,2/14/2024,39715.86,Installments,7943.17,31772.69,12,0.2,2647.72,15886.34,45,EGP,4/4/2026
ORD-10096,CUST-270,PROD-164,BR-10,AG-4,3/12/2024,45664.02,Installments,9132.8,36531.22,12,0.2,3044.27,18265.61,0,EGP,4/4/2026
ORD-10097,CUST-132,PROD-179,BR-9,AG-13,1/31/2024,10849,Installments,2169.8,8679.2,12,0.2,723.27,4339.6,0,egp,4/4/2026
ORD-10098,CUST-388,PROD-145,BR-3,AG-1,10/8/2024,19596.62,Installments,3919.32,15677.3,12,0.2,1306.44,7838.65,0,EGP,4/4/2026
ORD-10099,CUST-253,PROD-152,BR-9,AG-4,10/6/2024,34424.88,Installments,6884.98,27539.9,12,0.2,2294.99,13769.95,0,EGP,4/4/2026
ORD-10100,CUST-666,PROD-172,BR-2,AG-1,10/15/2024,54640.05,Installments,10928.01,43712.04,12,0.2,3642.67,21856.02,0,Pound,4/4/2026
ORD-10101,CUST-134,PROD-168,BR-4,AG-6,2/20/2024,59845.86,Installments,11969.17,47876.69,12,0.2,3989.72,23938.34,120,EGP,4/4/2026
ORD-10102,CUST-189,PROD-182,BR-9,AG-11,3/13/2024,62385.34,Installments,12477.07,49908.27,12,0.2,4159.02,24954.14,45,EGP,4/4/2026
ORD-10103,CUST-862,PROD-52,BR-10,AG-12,6/8/2024,48491.03,Cash,48491.03,0,0,0,0,0,0,EGP,
ORD-10104,CUST-408,PROD-120,BR-3,AG-7,1/8/2025,15552.43,Cash,15552.43,0,0,0,0,0,0,EGP,
ORD-10105,CUST-311,PROD-95,BR-2,AG-11,2/4/2025,36698.07,Installments,7339.61,29358.46,12,0.2,2446.54,14679.23,0,EGP,4/4/2026
ORD-10106,CUST-366,PROD-121,BR-7,AG-19,4/13/2024,63714.55,Installments,12742.91,50971.64,12,0.2,4247.64,25485.82,0,egp,4/4/2026
ORD-10107,CUST-367,PROD-181,BR-8,AG-6,12/30/2028,20504.75,Cash,20504.75,0,0,0,0,0,0,EGP,
ORD-10108,CUST-308,PROD-57,BR-2,AG-16,2/1/2024,43303.48,Installments,8660.7,34642.78,12,0.2,2886.9,17321.39,120,Pound,1/1/1900
ORD-10109,CUST-345,PROD-90,BR-2,AG-23,8/3/2024,63966.68,Installments,12793.34,51173.34,12,0.2,4264.45,25586.67,0,EGP,4/4/2026
ORD-10110,CUST-950,PROD-139,BR-7,AG-25,3/9/2024,57064.18,Cash,57064.18,0,0,0,0,0,0,EGP,
ORD-10111,CUST-496,PROD-147,BR-6,AG-21,8/11/2024,15994.51,Installments,3198.9,12795.61,12,0.2,1066.3,6397.8,0,Pound,4/4/2026
ORD-10112,CUST-835,PROD-107,BR-8,AG-13,9/26/2024,69893.04,Installments,13978.61,55914.43,12,0.2,4659.54,27957.22,0,EGP,4/4/2026
ORD-10113,CUST-573,PROD-63,BR-4,AG-23,3/31/2024,44049.91,Installments,8809.98,35239.93,12,0.2,2936.66,17619.96,0,Pound,4/4/2026
ORD-10114,CUST-791,PROD-153,BR-4,AG-12,8/17/2024,14135.25,Cash,14135.25,0,0,0,0,0,0,egp,
ORD-10115,CUST-304,PROD-101,BR-1,AG-19,8/25/2024,85755.59,Installments,17151.12,68604.47,12,0.2,5717.04,34302.24,45,EGP,4/4/2026
ORD-10116,CUST-681,PROD-188,BR-5,AG-5,2/1/2024,42612.12,Installments,8522.42,34089.7,12,0.2,2840.81,17044.85,15,Pound,4/4/2026
ORD-10117,CUST-572,PROD-125,BR-7,AG-9,9/20/2024,47224.69,Installments,9444.94,37779.75,12,0.2,3148.31,18889.88,0,EGP,4/4/2026
ORD-10118,CUST-595,PROD-125,BR-10,AG-25,9/13/2024,41590.51,Installments,8318.1,33272.41,12,0.2,2772.7,16636.2,0,EGP,4/4/2026
ORD-10119,CUST-424,PROD-113,BR-1,AG-12,12/8/2024,86397.05,Cash,86397.05,0,0,0,0,0,0,EGP,
ORD-10120,CUST-220,PROD-190,BR-9,AG-16,9/9/2024,86967.59,Cash,86967.59,0,0,0,0,0,0,EGP,
ORD-10121,CUST-578,PROD-77,BR-9,AG-15,9/8/2024,84056.66,Installments,16811.33,67245.33,12,0.2,5603.78,33622.66,120,EGP,4/4/2026
ORD-10122,CUST-209,PROD-76,BR-3,AG-6,9/13/2024,22618.87,Installments,4523.77,18095.1,12,0.2,1507.92,9047.55,0,EGP,4/4/2026
ORD-10123,CUST-838,PROD-102,BR-3,AG-11,2/25/2024,49219.34,Installments,9843.87,39375.47,12,0.2,3281.29,19687.74,15,EGP,4/4/2026
ORD-10124,CUST-460,PROD-87,BR-8,AG-10,11/26/2024,14746.85,Cash,14746.85,0,0,0,0,0,0,EGP,
ORD-10125,CUST-293,PROD-92,BR-9,AG-3,6/2/2024,85086.17,Cash,85086.17,0,0,0,0,0,0,EGP,
ORD-10126,CUST-153,PROD-186,BR-1,AG-12,9/14/2024,74487.16,Installments,14897.43,59589.73,12,0.2,4965.81,29794.86,0,EGP,4/4/2026
ORD-10127,CUST-589,PROD-153,BR-2,AG-3,11/26/2024,82442.03,Installments,16488.41,65953.62,12,0.2,5496.14,32976.81,0,Pound,4/4/2026
ORD-10128,CUST-750,PROD-117,BR-6,AG-13,9/20/2024,48352.2,Installments,9670.44,38681.76,12,0.2,3223.48,19340.88,0,EGP,4/4/2026
ORD-10129,CUST-525,PROD-69,BR-3,AG-22,8/17/2024,56335.37,Installments,11267.07,45068.3,12,0.2,3755.69,22534.15,0,EGP,4/4/2026
ORD-10130,CUST-668,PROD-152,BR-6,AG-15,5/18/2024,84373.84,Cash,84373.84,0,0,0,0,0,0,EGP,
ORD-10131,CUST-534,PROD-112,BR-1,AG-6,10/16/2024,62582.38,Installments,12516.48,50065.9,12,0.2,4172.16,25032.95,0,EGP,4/4/2026
ORD-10132,CUST-489,PROD-170,BR-2,AG-23,1/24/2025,83396.59,Installments,16679.32,66717.27,12,0.2,5559.77,33358.64,120,EGP,4/4/2026
ORD-10133,CUST-161,PROD-81,BR-4,AG-17,11/9/2024,77077.86,Cash,77077.86,0,0,0,0,0,0,EGP,
ORD-10134,CUST-250,PROD-175,BR-10,AG-10,4/10/2024,71060.27,Installments,14212.05,56848.22,12,0.2,4737.35,28424.11,0,EGP,4/4/2026
ORD-10135,CUST-505,PROD-107,BR-6,AG-8,3/25/2024,68206.21,Installments,13641.24,54564.97,12,0.2,4547.08,27282.48,0,EGP,4/4/2026
ORD-10136,CUST-863,PROD-138,BR-3,AG-21,9/19/2024,64388.39,Installments,12877.68,51510.71,12,0.2,4292.56,25755.36,0,EGP,1/1/1900
ORD-10137,CUST-284,PROD-75,BR-4,AG-8,8/17/2024,79209.31,Installments,15841.86,63367.45,12,0.2,5280.62,31683.72,0,egp,4/4/2026
ORD-10138,CUST-546,PROD-136,BR-9,AG-25,1/22/2025,34217.58,Cash,34217.58,0,0,0,0,0,0,EGP,
ORD-10139,CUST-711,PROD-153,BR-7,AG-19,9/6/2024,31833.09,Installments,6366.62,25466.47,12,0.2,2122.21,12733.24,45,EGP,4/4/2026
ORD-10140,CUST-346,PROD-125,BR-5,AG-15,8/17/2024,49640.93,Installments,9928.19,39712.74,12,0.2,3309.4,19856.37,15,Pound,4/4/2026
ORD-10141,CUST-327,PROD-88,BR-1,AG-11,4/27/2024,35519.59,Cash,35519.59,0,0,0,0,0,0,EGP,
ORD-10142,CUST-813,PROD-139,BR-10,AG-20,1/20/2024,67330.02,Cash,67330.02,0,0,0,0,0,0,EGP,
ORD-10143,CUST-823,PROD-73,BR-8,AG-12,7/15/2024,56374.9,Cash,56374.9,0,0,0,0,0,0,EGP,
ORD-10144,CUST-576,PROD-195,BR-3,AG-12,2/15/2024,53510.48,Installments,10702.1,42808.38,12,0.2,3567.37,21404.19,0,EGP,4/4/2026
ORD-10145,CUST-667,PROD-116,BR-8,AG-8,1/3/2024,79316.85,Installments,15863.37,63453.48,12,0.2,5287.79,31726.74,0,EGP,4/4/2026
ORD-10146,CUST-854,PROD-120,BR-6,AG-24,10/6/2024,36536.19,Cash,36536.19,0,0,0,0,0,0,EGP,
ORD-10147,CUST-670,PROD-80,BR-1,AG-21,6/18/2024,37403.33,Installments,7480.67,29922.66,12,0.2,2493.56,14961.33,15,EGP,4/4/2026
ORD-10148,CUST-885,PROD-91,BR-10,AG-21,12/20/2024,54069.51,Installments,10813.9,43255.61,12,0.2,3604.63,21627.8,45,EGP,4/4/2026
ORD-10149,CUST-998,PROD-83,BR-9,AG-19,3/11/2024,69261.82,Installments,13852.36,55409.46,12,0.2,4617.45,27704.73,15,egp,4/4/2026
ORD-10150,CUST-563,PROD-74,BR-8,AG-8,10/18/2024,79050.25,Cash,79050.25,0,0,0,0,0,0,EGP,
ORD-10151,CUST-101,PROD-152,BR-5,AG-11,8/5/2024,43260.77,Installments,8652.15,34608.62,12,0.2,2884.05,17304.31,0,EGP,4/4/2026
ORD-10152,CUST-383,PROD-98,BR-1,AG-16,2/24/2024,64415.47,Installments,12883.09,51532.38,12,0.2,4294.36,25766.19,0,EGP,4/4/2026
ORD-10153,CUST-667,PROD-100,BR-6,AG-9,10/31/2024,21133.16,Installments,4226.63,16906.53,12,0.2,1408.88,8453.26,15,EGP,4/4/2026
ORD-10154,CUST-488,PROD-86,BR-6,AG-4,9/18/2024,77435.27,Installments,15487.05,61948.22,12,0.2,5162.35,30974.11,0,EGP,4/4/2026
ORD-10155,CUST-534,PROD-100,BR-7,AG-19,8/29/2024,50103.96,Installments,10020.79,40083.17,12,0.2,3340.26,20041.58,0,EGP,4/4/2026
ORD-10156,CUST-140,PROD-146,BR-7,AG-25,1/5/2024,59393.95,Cash,59393.95,0,0,0,0,0,0,EGP,
ORD-10157,CUST-405,PROD-137,BR-3,AG-5,10/11/2024,73633.98,Cash,73633.98,0,0,0,0,0,0,EGP,
ORD-10158,CUST-874,PROD-158,BR-5,AG-1,8/13/2024,43236.16,Installments,8647.23,34588.93,12,0.2,2882.41,17294.46,0,EGP,4/4/2026
ORD-10159,CUST-854,PROD-118,BR-2,AG-7,10/6/2024,16146.91,Installments,3229.38,12917.53,12,0.2,1076.46,6458.76,0,Pound,4/4/2026
ORD-10160,CUST-720,PROD-50,BR-8,AG-6,5/17/2024,59190.8,Installments,11838.16,47352.64,12,0.2,3946.05,23676.32,0,EGP,4/4/2026
ORD-10161,CUST-439,PROD-181,BR-3,AG-16,11/25/2024,46214.98,Installments,9243,36971.98,12,0.2,3081,18485.99,0,EGP,4/4/2026
ORD-10162,CUST-460,PROD-150,BR-5,AG-2,7/17/2024,36351.16,Installments,7270.23,29080.93,12,0.2,2423.41,14540.46,15,EGP,4/4/2026
ORD-10163,CUST-250,PROD-137,BR-6,AG-1,4/21/2024,21459.81,Installments,4291.96,17167.85,12,0.2,1430.65,8583.92,0,EGP,4/4/2026
ORD-10164,CUST-336,PROD-83,BR-2,AG-2,11/10/2024,64638.74,Installments,12927.75,51710.99,12,0.2,4309.25,25855.5,0,EGP,4/4/2026
ORD-10165,CUST-942,PROD-63,BR-1,AG-19,1/11/2024,50731.87,Cash,50731.87,0,0,0,0,0,0,EGP,
ORD-10166,CUST-825,PROD-85,BR-8,AG-14,1/26/2024,38960.98,Cash,38960.98,0,0,0,0,0,0,EGP,
ORD-10167,CUST-948,PROD-104,BR-2,AG-10,11/6/2024,73982.43,Installments,14796.49,59185.94,12,0.2,4932.16,29592.97,45,EGP,4/4/2026
ORD-10168,CUST-482,PROD-97,BR-4,AG-9,3/31/2024,69230.96,Installments,13846.19,55384.77,12,0.2,4615.4,27692.38,0,EGP,4/4/2026
ORD-10169,CUST-475,PROD-145,BR-3,AG-16,3/15/2024,15876.41,Installments,3175.28,12701.13,12,0.2,1058.43,6350.56,0,Pound,4/4/2026
ORD-10170,CUST-190,PROD-51,BR-4,AG-6,8/7/2024,80748.07,Cash,80748.07,0,0,0,0,0,0,EGP,
ORD-10171,CUST-128,PROD-127,BR-6,AG-8,4/3/2024,12250.7,Cash,12250.7,0,0,0,0,0,0,EGP,
ORD-10172,CUST-949,PROD-133,BR-6,AG-16,8/13/2024,35997,Installments,7199.4,28797.6,12,0.2,2399.8,14398.8,45,EGP,4/4/2026
